Store Name,"Latitude,Longitude"
Supercenter #1158,"33.5792471,-86.9246754"
Neighborhood Market #4756,"33.212791,-86.828095"
Supercenter #423,"33.2355108,-86.801154"
Supercenter #726,"32.941003,-85.98037"
Supercenter #1091,"31.317793,-86.4972754"
Supercenter #329,"33.7204589,-85.8194622"
Supercenter #306,"34.340787,-86.503582"
Supercenter #661,"34.788646,-86.9587912"
Supercenter #7247,"31.0379679,-87.4951729"
Supercenter #316,"33.9968725,-86.0972963"
Neighborhood Market #4673,"32.6304484,-85.4954794"
Neighborhood Market #5062,"32.6247065,-85.4502471"
Supercenter #356,"32.5749405,-85.4987209"
Supercenter #2739,"30.886592,-87.788915"
Supercenter #764,"33.361719,-87.001921"
Neighborhood Market #3424,"33.381942,-86.743113"
Neighborhood Market #4504,"33.4678591,-86.8215825"
Neighborhood Market #5100,"33.637368,-86.684495"
Supercenter #762,"33.590204,-86.70022"
Supercenter #1711,"33.5290247,-86.7206187"
Supercenter #2111,"33.418707,-86.6754642"
Supercenter #298,"34.214298,-86.156293"
Supercenter #425,"32.962842,-87.169009"
Supercenter #1620,"31.148441,-87.063735"
Supercenter #3271,"33.147491,-86.749256"
Supercenter #5126,"34.1628465,-85.7125857"
Supercenter #4330,"33.355379,-86.569367"
Supercenter #424,"32.8167423,-86.6093686"
Supercenter #670,"34.149168,-86.8420593"
Supercenter #7280,"34.206914,-86.873162"
Supercenter #934,"30.6251379,-87.9046422"
Neighborhood Market #2488,"34.5889033,-86.9818367"
Supercenter #662,"34.5545643,-87.0001138"
Supercenter #731,"32.502897,-87.818475"
Neighborhood Market #5769,"31.2319051,-85.450915"
Supercenter #604,"31.2681469,-85.4412479"
Supercenter #2534,"31.1788331,-85.4044811"
Supercenter #734,"31.331293,-85.873431"
Supercenter #1638,"31.8431754,-85.1706083"
Supercenter #4333,"30.5223154,-87.8488543"
Supercenter #1052,"33.645535,-87.83784"
Neighborhood Market #4188,"34.817917,-87.6564751"
Supercenter #766,"34.8346804,-87.6257788"
Supercenter #4187,"34.8423715,-87.6916203"
Supercenter #904,"30.378068,-87.683313"
Supercenter #691,"34.4396942,-85.7618217"
Supercenter #301,"34.012791,-85.9872519"
Supercenter #1201,"33.6466635,-86.8230323"
Walmart #1063,"31.0514225,-85.8994081"
Supercenter #1462,"31.849507,-86.647223"
Supercenter #2748,"30.2673251,-87.6861679"
Supercenter #681,"34.304031,-86.284701"
Supercenter #409,"34.242951,-87.588093"
Supercenter #1100,"34.1196685,-87.9923468"
Supercenter #1124,"34.455998,-86.946889"
Supercenter #6878,"34.943551,-86.571884"
Supercenter #4189,"33.281512,-86.852685"
Supercenter #1481,"33.4471,-86.821"
Neighborhood Market #3184,"33.3931625,-86.7993257"
Supercenter #1229,"33.3618017,-86.8246595"
Supercenter #4497,"33.460574,-86.96832"
Supercenter #5197,"34.6601,-86.487626"
Clinic Pharmacy #7254,"34.800775,-86.613603"
Neighborhood Market #3185,"34.750358,-86.633691"
Neighborhood Market #5716,"34.6471051,-86.5415989"
Neighborhood Market #5925,"34.7135989,-86.6249168"
Supercenter #332,"34.7470297,-86.6759384"
Supercenter #375,"34.7028556,-86.5855373"
Supercenter #433,"34.7656894,-86.591663"
Supercenter #434,"34.6171164,-86.5674153"
Supercenter #7324,"34.8200978,-86.492523"
Supercenter #2760,"31.538786,-87.886597"
Supercenter #300,"33.7881312,-85.76505"
Supercenter #287,"33.84615,-87.258899"
Supercenter #562,"33.5620825,-86.5186548"
Neighborhood Market #7342,"34.793292,-86.750837"
Supercenter #2690,"34.6838075,-86.7410865"
Supercenter #5703,"34.681097,-86.740161"
Supercenter #4318,"32.493877,-86.398425"
Neighborhood Market #4210,"30.721861,-88.161462"
Neighborhood Market #4648,"30.6797117,-88.1933189"
Neighborhood Market #4657,"30.64152,-88.1892869"
Neighborhood Market #5098,"30.64849,-88.161054"
Neighborhood Market #5740,"30.6698286,-88.1042696"
Supercenter #853,"30.6781098,-88.2226156"
Supercenter #866,"30.593595,-88.148617"
Supercenter #991,"30.66709,-88.1052"
Supercenter #4581,"30.6392657,-88.2463532"
Supercenter #1493,"31.4807184,-87.3282838"
Neighborhood Market #4672,"32.402505,-86.266962"
Neighborhood Market #4691,"32.3387999,-86.1751773"
Supercenter #930,"32.325935,-86.2325324"
Supercenter #938,"32.3822757,-86.1846382"
Supercenter #4407,"32.3548052,-86.1349365"
Supercenter #5348,"32.3709333,-86.2683167"
Supercenter #394,"34.493167,-87.274317"
Supercenter #660,"34.7448338,-87.6740845"
Neighborhood Market #5248,"33.2396253,-87.5732875"
Supercenter #2306,"33.2349315,-87.6134174"
Supercenter #315,"33.9714357,-86.447159"
Supercenter #355,"32.637916,-85.421895"
Neighborhood Market #5653,"30.266911,-87.598841"
Supercenter #809,"33.5989373,-85.8323786"
Supercenter #740,"31.4446853,-85.6502867"
Supercenter #5262,"33.340851,-86.791181"
Supercenter #5113,"33.6095275,-86.2771424"
Neighborhood Market #5903,"32.468831,-85.080937"
Supercenter #1284,"32.506175,-85.052784"
Supercenter #483,"32.463079,-86.4163618"
Supercenter #863,"33.1648413,-85.3644005"
Supercenter #6173,"30.533361,-87.708283"
Supercenter #403,"34.492416,-87.72857"
Supercenter #1212,"30.801998,-88.1008507"
Supercenter #712,"34.6680588,-86.0060653"
Supercenter #700,"32.43155,-87.010713"
Supercenter #5174,"30.761749,-88.2294857"
Supercenter #3386,"33.7798421,-86.432952"
Supercenter #2723,"33.7453936,-87.0417515"
Supercenter #730,"33.177462,-86.293714"
Supercenter #432,"33.4385836,-86.0803585"
Supercenter #1057,"32.5657459,-85.9322026"
Neighborhood Market #5744,"30.5637903,-88.2131224"
Supercenter #1174,"31.910491,-87.741542"
Supercenter #723,"31.854925,-85.997564"
Supercenter #2713,"33.638999,-86.6291755"
Neighborhood Market #5256,"33.169989,-87.482461"
Supercenter #715,"33.1654722,-87.518165"
Supercenter #733,"32.7934542,-85.1596286"
Neighborhood Market #4580,"33.423277,-86.796829"
Supercenter #1101,"32.617696,-86.233667"
Supercenter #362,"33.937831,-87.840221"
Costco,"33.37938,-86.8127388"
Costco,"34.744529,-86.600939"
Costco,"34.688804,-86.72093"
Costco,"30.66709,-88.1052"
Costco,"32.3645543,-86.150407"
Kroger,"32.6112328,-85.463778"
Kroger,"34.5617437,-86.9770065"
Kroger,"34.445717,-86.943551"
Kroger,"34.799995,-86.5361578"
Kroger,"34.749315,-86.601002"
Kroger,"34.6573723,-86.5699887"
Kroger,"34.704658,-86.682193"
Kroger,"32.8557103,-85.1909374"
Kroger,"34.678412,-86.746818"
Kroger,"34.7081726,-86.7483101"
Kroger,"32.6207298,-85.4117424"
Publix,"32.5853278,-85.4364242"
Publix,"32.6053305,-85.4808115"
Publix,"32.5213691,-85.0282421"
Publix,"32.915987,-85.952558"
Publix,"32.346945,-86.0942194"
Publix,"32.3368155,-86.182755"
Publix,"32.3823444,-86.1709008"
Publix,"32.3834582,-86.2417918"
Publix,"32.36047,-86.265276"
Publix,"31.197417,-85.3745137"
Publix,"31.2488317,-85.4287699"
Publix,"31.2395178,-85.4633255"
Publix,"31.3345643,-85.8583831"
Publix,"31.78401,-85.959701"
Publix,"30.545424,-87.855185"
Publix,"30.448601,-88.239016"
Publix,"30.555695,-87.890899"
Publix,"30.6309068,-87.9125916"
Publix,"30.6741589,-87.8480394"
Publix,"30.6925111,-88.0989552"
Publix,"30.8056707,-88.1105995"
Publix,"30.67618,-88.1724334"
Publix,"30.6417673,-88.1923322"
Publix,"30.6419434,-88.2573851"
Publix,"30.786064,-88.225704"
Publix,"32.498232,-86.397789"
Publix,"32.4614979,-86.398238"
Publix,"33.1232121,-87.5527196"
Publix,"33.2121079,-87.5535866"
Publix,"33.2419965,-87.5778246"
Publix,"33.301017,-87.568666"
Publix,"33.2634494,-87.5147247"
Publix,"33.510055,-86.8030375"
Publix,"33.476742,-86.832207"
Publix,"33.465192,-86.819874"
Publix,"33.4442063,-86.7908769"
Publix,"33.5211269,-86.7311806"
Publix,"33.4659379,-86.7329731"
